date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:18	43192/43192	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:21:19%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe02.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe02.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=cbe1993)
22:33:18	53229/53229	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:21:21%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe04.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe04.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=cbe1993)
22:33:18	52415/52415	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:21:22%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe05.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe05.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=cbe1993)
22:33:19	52862/52862	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:21:23%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe06.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe06.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=cbe1993)
22:33:19	44464/44464	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:21:24%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe07.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe07.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=cbe1993)
22:33:19	49769/49769	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:21:25%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe08.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe08.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=cbe1993)
22:33:19	63651/63651	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:21:26%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe09.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/cbe1993/cbe09.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=cbe1993)
22:33:20	57810/57810	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:23:41%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/abismodocagadao/cagadao01.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/abismodocagadao/cagadao01.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=abismodocagadao)
22:33:20	46202/46202	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:23:29%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/abismodocagadao/cagadao02.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/abismodocagadao/cagadao02.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=abismodocagadao)
22:33:20	97768/97768	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Jul%202020%2000:23:32%20GMT	https://gregeo.000webhostapp.com/imagens/antigas/abismodocagadao/cagadao03.jpg	C:/Users/guilh/Desktop/gregeo/gregeo/gregeo.000webhostapp.com/imagens/antigas/abismodocagadao/cagadao03.jpg	(from https://gregeo.000webhostapp.com/index.php?pagina=abismodocagadao)
